0.030359,1.2412,-2.4926
0.027523,1.2598,-2.5585
0.02482,1.2787,-2.6246
0.02245,1.2978,-2.6909
0.020277,1.3172,-2.7577
0.018365,1.3365,-2.8247
0.016818,1.3565,-2.8927
0.01552,1.3764,-2.9609
0.014295,1.3958,-3.0281
0.013294,1.4151,-3.0948
0.012231,1.4343,-3.1615
0.01123,1.4535,-3.2278
0.010222,1.4731,-3.2935
0.0092429,1.493,-3.3596
0.0082506,1.5122,-3.4246
0.0071602,1.5306,-3.4884
0.006139,1.5486,-3.5509
0.0051863,1.5666,-3.6121
0.0043955,1.5839,-3.6714
0.0036599,1.6009,-3.7293
0.0029314,1.6176,-3.7874
0.0021714,1.6331,-3.8433
0.001467,1.6477,-3.8974
0.00080316,1.6619,-3.9499
0.00029388,1.6753,-4.0006
-6.3776e-05,1.6882,-4.051
-0.00037297,1.7004,-4.1018
-0.00065893,1.7111,-4.1515
-0.0009521,1.7209,-4.1999
-0.00104,1.7302,-4.2471
-0.00090585,1.7392,-4.2939
-0.00073087,1.7475,-4.3407
-0.00036925,1.7555,-4.3879
-8.3285e-05,1.7626,-4.4341
0.00029079,1.7687,-4.4795
0.00060777,1.7747,-4.5238
0.00093578,1.78,-4.5677
0.0012474,1.7847,-4.6099
0.0015495,1.7893,-4.6527
0.0017238,1.7934,-4.6963
0.0016201,1.7967,-4.7387
0.0013994,1.7993,-4.7794
0.0012273,1.8015,-4.8191
0.0008521,1.8034,-4.8571
0.00045402,1.8039,-4.8932
-0.00020475,1.804,-4.9283
-0.001029,1.8033,-4.9628
-0.0020166,1.8015,-4.9941
-0.0030953,1.7989,-5.0226
-0.0042172,1.7951,-5.0487
-0.005422,1.7905,-5.0724
-0.0068546,1.7849,-5.0926
-0.0085203,1.7779,-5.111
-0.010418,1.7693,-5.1263
-0.012444,1.7594,-5.1378
-0.014634,1.7484,-5.1464
-0.016981,1.7358,-5.1518
-0.019507,1.7219,-5.155
-0.022111,1.7067,-5.157
-0.024996,1.6897,-5.1557
-0.028115,1.6708,-5.1517
-0.03124,1.6505,-5.1449
-0.034566,1.6292,-5.1359
-0.038038,1.6072,-5.1249
-0.041702,1.5837,-5.1121
-0.045459,1.5584,-5.0982
-0.049153,1.5312,-5.0821
-0.052744,1.5031,-5.0637
-0.056096,1.4742,-5.0427
-0.059307,1.4447,-5.0198
-0.062262,1.4135,-4.9942
-0.064866,1.3816,-4.9689
-0.067153,1.3482,-4.941
-0.06906,1.3136,-4.9105
-0.070392,1.2782,-4.8771
-0.071385,1.2415,-4.8407
-0.07189,1.2038,-4.8029
-0.072105,1.1642,-4.7627
-0.072033,1.1226,-4.7206
-0.072083,1.0799,-4.6757
-0.072308,1.0365,-4.6277
-0.072551,0.99216,-4.5771
-0.073061,0.94643,-4.524
-0.073856,0.90002,-4.4697
-0.075082,0.85199,-4.414
-0.07674,0.80276,-4.3562
-0.079139,0.75235,-4.296
-0.081957,0.70075,-4.2338
-0.085114,0.64792,-4.1695
-0.089014,0.59485,-4.1052
-0.09339,0.54154,-4.0401
-0.098395,0.48783,-3.9748
-0.10422,0.43392,-3.909
-0.11069,0.37972,-3.843
-0.11788,0.3252,-3.7772
-0.12598,0.27043,-3.7127
-0.1348,0.21624,-3.6484
-0.14465,0.16298,-3.5877
-0.15516,0.11059,-3.5278
-0.16607,0.059048,-3.4693
-0.17731,0.0080386,-3.4126
-0.18846,-0.041805,-3.3573
-0.19938,-0.09009,-3.3043
-0.2103,-0.13719,-3.2524
-0.22137,-0.18346,-3.2023
-0.23244,-0.22829,-3.1531
-0.24368,-0.27177,-3.1051
-0.25507,-0.31423,-3.058
-0.26642,-0.35589,-3.0115
-0.2775,-0.39614,-2.9673
-0.28815,-0.43583,-2.9247
-0.29826,-0.47516,-2.8822
-0.30757,-0.51372,-2.84
-0.31624,-0.55162,-2.798
-0.32451,-0.58942,-2.7555
-0.33271,-0.62713,-2.7138
-0.34065,-0.66598,-2.6719
-0.34836,-0.7052,-2.6299
-0.35594,-0.74415,-2.5869
-0.36302,-0.783,-2.543
-0.36976,-0.8217,-2.4985
-0.37646,-0.86087,-2.4529
-0.38292,-0.90053,-2.4074
-0.38949,-0.94125,-2.362
-0.39592,-0.98229,-2.3153
-0.40214,-1.0231,-2.2679
-0.40795,-1.0641,-2.2196
-0.4133,-1.1057,-2.1703
-0.41787,-1.148,-2.1214
-0.42188,-1.1907,-2.0721
-0.42556,-1.2342,-2.0223
-0.42891,-1.2775,-1.9713
-0.4322,-1.3205,-1.9197
-0.43535,-1.3636,-1.8676
-0.43818,-1.4067,-1.8145
-0.44108,-1.45,-1.7621
-0.44369,-1.4927,-1.7094
-0.44628,-1.5348,-1.6556
-0.44861,-1.5767,-1.6013
-0.45074,-1.6186,-1.5462
-0.45268,-1.6605,-1.4903
-0.45421,-1.7015,-1.4341
-0.4554,-1.7424,-1.3773
-0.45628,-1.7826,-1.32
-0.45695,-1.8223,-1.2622
-0.45762,-1.8622,-1.2039
-0.4585,-1.9021,-1.145
-0.45976,-1.9413,-1.0858
-0.46139,-1.98,-1.0274
-0.46344,-2.0188,-0.96898
-0.46578,-2.0569,-0.91071
-0.46797,-2.0949,-0.85288
-0.47013,-2.1324,-0.79565
-0.47224,-2.1696,-0.73867
-0.47451,-2.2065,-0.68288
-0.47669,-2.2427,-0.62785
-0.47897,-2.2787,-0.574
-0.48109,-2.3132,-0.52135
-0.48357,-2.3468,-0.46985
-0.4867,-2.3793,-0.41996
-0.49034,-2.4107,-0.37142
-0.49441,-2.4418,-0.32474
-0.49859,-2.4713,-0.27945
-0.50219,-2.499,-0.23586
-0.50532,-2.525,-0.19403
-0.50819,-2.5498,-0.15362
-0.51108,-2.5731,-0.11475
-0.51446,-2.5953,-0.076837
-0.51836,-2.6159,-0.039899
-0.5225,-2.6356,-0.0034651
-0.52616,-2.6537,0.032532
-0.52952,-2.6703,0.068224
-0.53265,-2.6853,0.10363
-0.53563,-2.6985,0.13908
-0.53912,-2.7123,0.17434
-0.54285,-2.7245,0.21005
-0.54649,-2.7354,0.24589
-0.54991,-2.7457,0.28256
-0.55295,-2.7551,0.32021
-0.55535,-2.7631,0.35864
-0.55747,-2.7708,0.39787
-0.55956,-2.7789,0.43847
-0.56139,-2.7861,0.48042
-0.56293,-2.7925,0.52336
-0.56401,-2.7988,0.56695
-0.56469,-2.8046,0.61151
-0.56506,-2.8105,0.65594
-0.56521,-2.8161,0.70082
-0.56551,-2.8217,0.74667
-0.56557,-2.827,0.79245
-0.56535,-2.8314,0.8382
-0.56479,-2.8356,0.88391
